time_s,total_queue,cum_delay_proxy
0.1,0.0,0.0
0.2,0.0,0.0
0.3,0.0,0.0
0.4,0.0,0.0
0.5,0.0,0.0
0.6,0.0,0.0
0.7,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
1.1,0.0,0.0
1.2,0.0,0.0
1.3,0.0,0.0
1.4,0.0,0.0
1.5,0.0,0.0
1.6,0.0,0.0
1.7,0.0,0.0
1.8,0.0,0.0
1.9,0.0,0.0
2.0,0.0,0.0
2.1,0.0,0.0
2.2,0.0,0.0
2.3,0.0,0.0
2.4,0.0,0.0
2.5,0.0,0.0
2.6,0.0,0.0
2.7,0.0,0.0
2.8,0.0,0.0
2.9,0.0,0.0
3.0,0.0,0.0
3.1,0.0,0.0
3.2,0.0,0.0
3.3,0.0,0.0
3.4,0.0,0.0
3.5,0.0,0.0
3.6,0.0,0.0
3.7,0.0,0.0
3.8,0.0,0.0
3.9,0.0,0.0
4.0,0.0,0.0
4.1,0.0,0.0
4.2,0.0,0.0
4.3,0.0,0.0
4.4,0.0,0.0
4.5,0.0,0.0
4.6,0.0,0.0
4.7,0.0,0.0
4.8,0.0,0.0
4.9,0.0,0.0
5.0,0.0,0.0
5.1,0.0,0.0
5.2,0.0,0.0
5.3,0.0,0.0
5.4,0.0,0.0
5.5,0.0,0.0
5.6,0.0,0.0
5.7,0.0,0.0
5.8,0.0,0.0
5.9,0.0,0.0
6.0,0.0,0.0
6.1,0.0,0.0
6.2,0.0,0.0
6.3,0.0,0.0
6.4,0.0,0.0
6.5,0.0,0.0
6.6,0.0,0.0
6.7,0.0,0.0
6.8,0.0,0.0
6.9,0.0,0.0
7.0,0.0,0.0
7.1,0.0,0.0
7.2,0.0,0.0
7.3,0.0,0.0
7.4,0.0,0.0
7.5,0.0,0.0
7.6,0.0,0.0
7.7,0.0,0.0
7.8,0.0,0.0
7.9,0.0,0.0
8.0,0.0,0.0
8.1,0.0,0.0
8.2,0.0,0.0
8.3,0.0,0.0
8.4,0.0,0.0
8.5,0.0,0.0
8.6,0.0,0.0
8.7,0.0,0.0
8.8,0.0,0.0
8.9,0.0,0.0
9.0,0.0,0.0
9.1,0.0,0.0
9.2,0.0,0.0
9.3,0.0,0.0
9.4,0.0,0.0
9.5,0.0,0.0
9.6,0.0,0.0
9.7,0.0,0.0
9.8,0.0,0.0
9.9,0.0,0.0
10.0,0.0,0.0
10.1,0.0,0.0
10.2,0.0,0.0
10.3,0.0,0.0
10.4,0.0,0.0
10.5,0.0,0.0
10.6,0.0,0.0
10.7,0.0,0.0
10.8,0.0,0.0
10.9,0.0,0.0
11.0,0.0,0.0
11.1,0.0,0.0
11.2,0.0,0.0
11.3,0.0,0.0
11.4,0.0,0.0
11.5,0.0,0.0
11.6,0.0,0.0
11.7,0.0,0.0
11.8,0.0,0.0
11.9,0.0,0.0
12.0,0.0,0.0
12.1,0.0,0.0
12.2,0.0,0.0
12.3,0.0,0.0
12.4,0.0,0.0
12.5,0.0,0.0
12.6,0.0,0.0
12.7,0.0,0.0
12.8,0.0,0.0
12.9,0.0,0.0
13.0,0.0,0.0
13.1,0.0,0.0
13.2,0.0,0.0
13.3,0.0,0.0
13.4,0.0,0.0
13.5,0.0,0.0
13.6,0.0,0.0
13.7,0.0,0.0
13.8,0.0,0.0
13.9,0.0,0.0
14.0,0.0,0.0
14.1,0.0,0.0
14.2,0.0,0.0
14.3,0.0,0.0
14.4,0.0,0.0
14.5,0.0,0.0
14.6,0.0,0.0
14.7,0.0,0.0
14.8,0.0,0.0
14.9,0.0,0.0
15.0,0.0,0.0
15.1,0.0,0.0
15.2,0.0,0.0
15.3,0.0,0.0
15.4,0.0,0.0
15.5,0.0,0.0
15.6,0.0,0.0
15.7,0.0,0.0
15.8,1.0,0.1
15.9,1.0,0.2
16.0,1.0,0.30000000000000004
16.1,1.0,0.4
16.2,1.0,0.5
16.3,1.0,0.6
16.4,1.0,0.7
16.5,1.0,0.7999999999999999
16.6,1.0,0.8999999999999999
16.7,1.0,0.9999999999999999
16.8,1.0,1.0999999999999999
16.9,1.0,1.2
17.0,1.0,1.3
17.1,1.0,1.4000000000000001
17.2,1.0,1.5000000000000002
17.3,1.0,1.6000000000000003
17.4,1.0,1.7000000000000004
17.5,1.0,1.8000000000000005
17.6,1.0,1.9000000000000006
17.7,1.0,2.0000000000000004
17.8,1.0,2.1000000000000005
17.9,1.0,2.2000000000000006
18.0,1.0,2.3000000000000007
18.1,1.0,2.400000000000001
18.2,1.0,2.500000000000001
18.3,1.0,2.600000000000001
18.4,1.0,2.700000000000001
18.5,2.0,2.9000000000000012
18.6,2.0,3.1000000000000014
18.7,2.0,3.3000000000000016
18.8,2.0,3.5000000000000018
18.9,2.0,3.700000000000002
19.0,2.0,3.900000000000002
19.1,2.0,4.100000000000002
19.2,2.0,4.3000000000000025
19.3,2.0,4.500000000000003
19.4,2.0,4.700000000000003
19.5,2.0,4.900000000000003
19.6,2.0,5.100000000000003
19.7,2.0,5.300000000000003
19.8,2.0,5.5000000000000036
19.9,2.0,5.700000000000004
20.0,2.0,5.900000000000004
20.1,2.0,6.100000000000004
20.2,2.0,6.300000000000004
20.3,2.0,6.500000000000004
20.4,2.0,6.700000000000005
20.5,2.0,6.900000000000005
20.6,2.0,7.100000000000005
20.7,2.0,7.300000000000005
20.8,2.0,7.500000000000005
20.9,2.0,7.7000000000000055
21.0,2.0,7.900000000000006
21.1,2.0,8.100000000000005
21.2,2.0,8.300000000000004
21.3,2.0,8.500000000000004
21.4,2.0,8.700000000000003
21.5,2.0,8.900000000000002
21.6,2.0,9.100000000000001
21.7,2.0,9.3
21.8,2.0,9.5
21.9,1.0,9.6
22.0,1.0,9.7
22.1,2.0,9.899999999999999
22.2,2.0,10.099999999999998
22.3,2.0,10.299999999999997
22.4,2.0,10.499999999999996
22.5,2.0,10.699999999999996
22.6,2.0,10.899999999999995
22.7,2.0,11.099999999999994
22.8,2.0,11.299999999999994
22.9,2.0,11.499999999999993
23.0,2.0,11.699999999999992
23.1,2.0,11.899999999999991
23.2,2.0,12.09999999999999
23.3,2.0,12.29999999999999
23.4,2.0,12.49999999999999
23.5,2.0,12.699999999999989
23.6,2.0,12.899999999999988
23.7,2.0,13.099999999999987
23.8,2.0,13.299999999999986
23.9,2.0,13.499999999999986
24.0,2.0,13.699999999999985
24.1,2.0,13.899999999999984
24.2,2.0,14.099999999999984
24.3,2.0,14.299999999999983
24.4,2.0,14.499999999999982
24.5,2.0,14.699999999999982
24.6,2.0,14.89999999999998
24.7,2.0,15.09999999999998
24.8,3.0,15.39999999999998
24.9,3.0,15.699999999999982
25.0,3.0,15.999999999999982
25.1,3.0,16.299999999999983
25.2,3.0,16.599999999999984
25.3,3.0,16.899999999999984
25.4,3.0,17.199999999999985
25.5,3.0,17.499999999999986
25.6,2.0,17.699999999999985
25.7,2.0,17.899999999999984
25.8,3.0,18.199999999999985
25.9,3.0,18.499999999999986
26.0,3.0,18.799999999999986
26.1,3.0,19.099999999999987
26.2,3.0,19.399999999999988
26.3,3.0,19.69999999999999
26.4,3.0,19.99999999999999
26.5,3.0,20.29999999999999
26.6,3.0,20.59999999999999
26.7,3.0,20.89999999999999
26.8,3.0,21.199999999999992
26.9,3.0,21.499999999999993
27.0,3.0,21.799999999999994
27.1,3.0,22.099999999999994
27.2,3.0,22.399999999999995
27.3,3.0,22.699999999999996
27.4,3.0,22.999999999999996
27.5,3.0,23.299999999999997
27.6,3.0,23.599999999999998
27.7,3.0,23.9
27.8,4.0,24.299999999999997
27.9,4.0,24.699999999999996
28.0,4.0,25.099999999999994
28.1,4.0,25.499999999999993
28.2,4.0,25.89999999999999
28.3,4.0,26.29999999999999
28.4,4.0,26.69999999999999
28.5,4.0,27.099999999999987
28.6,4.0,27.499999999999986
28.7,4.0,27.899999999999984
28.8,4.0,28.299999999999983
28.9,4.0,28.69999999999998
29.0,4.0,29.09999999999998
29.1,4.0,29.49999999999998
29.2,4.0,29.899999999999977
29.3,4.0,30.299999999999976
29.4,4.0,30.699999999999974
29.5,4.0,31.099999999999973
29.6,4.0,31.49999999999997
29.7,4.0,31.89999999999997
29.8,4.0,32.29999999999997
29.9,4.0,32.69999999999997
30.0,4.0,33.099999999999966
30.1,4.0,33.499999999999964
30.2,4.0,33.89999999999996
30.3,4.0,34.29999999999996
30.4,4.0,34.69999999999996
30.5,4.0,35.09999999999996
30.6,4.0,35.49999999999996
30.7,4.0,35.899999999999956
30.8,4.0,36.299999999999955
30.9,4.0,36.69999999999995
31.0,4.0,37.09999999999995
31.1,4.0,37.49999999999995
31.2,4.0,37.89999999999995
31.3,4.0,38.29999999999995
31.4,4.0,38.699999999999946
31.5,4.0,39.099999999999945
31.6,5.0,39.599999999999945
31.7,5.0,40.099999999999945
31.8,5.0,40.599999999999945
31.9,5.0,41.099999999999945
32.0,5.0,41.599999999999945
32.1,5.0,42.099999999999945
32.2,4.0,42.49999999999994
32.3,4.0,42.89999999999994
32.4,4.0,43.29999999999994
32.5,4.0,43.69999999999994
32.6,4.0,44.09999999999994
32.7,4.0,44.499999999999936
32.8,4.0,44.899999999999935
32.9,4.0,45.29999999999993
33.0,4.0,45.69999999999993
33.1,4.0,46.09999999999993
33.2,5.0,46.59999999999993
33.3,5.0,47.09999999999993
33.4,5.0,47.59999999999993
33.5,5.0,48.09999999999993
33.6,5.0,48.59999999999993
33.7,5.0,49.09999999999993
33.8,5.0,49.59999999999993
33.9,5.0,50.09999999999993
34.0,5.0,50.59999999999993
34.1,5.0,51.09999999999993
34.2,5.0,51.59999999999993
34.3,5.0,52.09999999999993
34.4,5.0,52.59999999999993
34.5,5.0,53.09999999999993
34.6,5.0,53.59999999999993
34.7,4.0,53.99999999999993
34.8,4.0,54.39999999999993
34.9,4.0,54.799999999999926
35.0,4.0,55.199999999999925
35.1,4.0,55.59999999999992
35.2,4.0,55.99999999999992
35.3,4.0,56.39999999999992
35.4,4.0,56.79999999999992
35.5,4.0,57.19999999999992
35.6,4.0,57.599999999999916
35.7,4.0,57.999999999999915
35.8,4.0,58.39999999999991
35.9,4.0,58.79999999999991
36.0,4.0,59.19999999999991
36.1,4.0,59.59999999999991
36.2,4.0,59.99999999999991
36.3,4.0,60.399999999999906
36.4,4.0,60.799999999999905
36.5,4.0,61.1999999999999
36.6,4.0,61.5999999999999
36.7,4.0,61.9999999999999
36.8,4.0,62.3999999999999
36.9,4.0,62.7999999999999
37.0,4.0,63.199999999999896
37.1,4.0,63.599999999999895
37.2,4.0,63.99999999999989
37.3,4.0,64.39999999999989
37.4,4.0,64.7999999999999
37.5,4.0,65.1999999999999
37.6,4.0,65.59999999999991
37.7,4.0,65.99999999999991
37.8,4.0,66.39999999999992
37.9,4.0,66.79999999999993
38.0,4.0,67.19999999999993
