gamma,actor_lr,critic_lr,temperature,epsilon,avg_delay
0.8,0.01,0.05,0.5,0.01,403829.849999998
0.8,0.01,0.05,0.5,0.05,437567.89999989525
0.8,0.01,0.05,1.0,0.01,443212.59999991825
0.8,0.01,0.05,1.0,0.05,439231.29999988794
0.8,0.01,0.1,0.5,0.01,465085.4499999166
0.8,0.01,0.1,0.5,0.05,431409.2499999274
0.8,0.01,0.1,1.0,0.01,405308.15000002517
0.8,0.01,0.1,1.0,0.05,415654.09999996924
0.8,0.05,0.05,0.5,0.01,428563.80000000703
0.8,0.05,0.05,0.5,0.05,408665.35000004305
0.8,0.05,0.05,1.0,0.01,468954.69999993173
0.8,0.05,0.05,1.0,0.05,432600.79999995814
0.8,0.05,0.1,0.5,0.01,434568.799999914
0.8,0.05,0.1,0.5,0.05,403994.6999999812
0.8,0.05,0.1,1.0,0.01,413314.8999999859
0.8,0.05,0.1,1.0,0.05,435590.49999993615
0.8,0.1,0.05,0.5,0.01,453986.099999844
0.8,0.1,0.05,0.5,0.05,436475.0000000098
0.8,0.1,0.05,1.0,0.01,415163.6499999657
0.8,0.1,0.05,1.0,0.05,435506.49999995995
0.8,0.1,0.1,0.5,0.01,423537.89999994176
0.8,0.1,0.1,0.5,0.05,454802.69999992603
0.8,0.1,0.1,1.0,0.01,426223.39999991236
0.8,0.1,0.1,1.0,0.05,436553.7000000636
0.9,0.01,0.05,0.5,0.01,418627.5499999336
0.9,0.01,0.05,0.5,0.05,411008.7999999897
0.9,0.01,0.05,1.0,0.01,430938.3999999454
0.9,0.01,0.05,1.0,0.05,582592.0999997766
0.9,0.01,0.1,0.5,0.01,419223.0499998446
0.9,0.01,0.1,0.5,0.05,431268.29999996186
0.9,0.01,0.1,1.0,0.01,455341.19999996596
0.9,0.01,0.1,1.0,0.05,423835.34999991435
0.9,0.05,0.05,0.5,0.01,439064.2499999107
0.9,0.05,0.05,0.5,0.05,428818.69999996375
0.9,0.05,0.05,1.0,0.01,422775.19999998645
0.9,0.05,0.05,1.0,0.05,443711.2999999133
0.9,0.05,0.1,0.5,0.01,425493.69999997126
0.9,0.05,0.1,0.5,0.05,435333.949999904
0.9,0.05,0.1,1.0,0.01,428809.84999988263
0.9,0.05,0.1,1.0,0.05,403061.4500000535
0.9,0.1,0.05,0.5,0.01,433387.9999999441
0.9,0.1,0.05,0.5,0.05,434443.3499999764
0.9,0.1,0.05,1.0,0.01,429608.0999998873
0.9,0.1,0.05,1.0,0.05,443376.14999996126
0.9,0.1,0.1,0.5,0.01,491943.2499999435
0.9,0.1,0.1,0.5,0.05,418457.249999927
0.9,0.1,0.1,1.0,0.01,433503.8499998998
0.9,0.1,0.1,1.0,0.05,431136.64999995823
0.95,0.01,0.05,0.5,0.01,425297.64999994636
0.95,0.01,0.05,0.5,0.05,398812.0500000318
0.95,0.01,0.05,1.0,0.01,414232.699999934
0.95,0.01,0.05,1.0,0.05,405853.49999991
0.95,0.01,0.1,0.5,0.01,420426.8999999811
0.95,0.01,0.1,0.5,0.05,415651.8999999124
0.95,0.01,0.1,1.0,0.01,407631.6999999543
0.95,0.01,0.1,1.0,0.05,401898.550000044
0.95,0.05,0.05,0.5,0.01,400063.4000000473
0.95,0.05,0.05,0.5,0.05,416663.04999997065
0.95,0.05,0.05,1.0,0.01,412265.249999964
0.95,0.05,0.05,1.0,0.05,431023.74999988533
0.95,0.05,0.1,0.5,0.01,439921.2999999198
0.95,0.05,0.1,0.5,0.05,428576.29999996314
0.95,0.05,0.1,1.0,0.01,443909.9500000143
0.95,0.05,0.1,1.0,0.05,428814.4499999594
0.95,0.1,0.05,0.5,0.01,445841.6999998901
0.95,0.1,0.05,0.5,0.05,629702.7499999317
0.95,0.1,0.05,1.0,0.01,431953.34999989625
0.95,0.1,0.05,1.0,0.05,430863.949999917
0.95,0.1,0.1,0.5,0.01,427696.2499999084
0.95,0.1,0.1,0.5,0.05,414090.9999999006
0.95,0.1,0.1,1.0,0.01,415135.39999993873
0.95,0.1,0.1,1.0,0.05,399678.69999995385
